[{'A': 1, 'B': 3, 'C': 2, 'D': 0, 'E': 0, 'F': 0, 'G': 0, 'H': 9, 'I': 3, 'J': 1, 'K': 0, 'L': 2, 'M': 0, 'N': 0, 'O': 0, 'P': 0, 'Q': 1, 'R': 0, 'S': 0, 'T': 0}]
ABCDGHIJLNOPQRT     	0.0                      	15	8	0	1
ABCHIJLQ            	0.069643298              	8	8	0.01	1
ABCHIJLQ            	0.138294019              	8	8	0.02	2
ABCHIJLQ            	0.205976737              	8	8	0.03	3
ABCHIJLQ            	0.27271522               	8	8	0.04	4
ABCHIJLQ            	0.338532464              	8	8	0.05	5
ABCHIJLQ            	0.403450726              	8	8	0.06	6
ABCHIJLQ            	0.467491551              	8	8	0.07	7
ABCHIJLQ            	0.530675799              	8	8	0.08	8
ABCHIJLQ            	0.593023678              	8	8	0.09	9
ABCHIJLQ            	0.654554761              	8	8	0.1	10
ABCHIJLQ            	0.715288019              	8	8	0.11	11
ABCHIJLQ            	0.775241836              	8	8	0.12	12
ABCHIJLQ            	0.834434039              	8	8	0.13	13
ABCHIJLQ            	0.892881913              	8	8	0.14	14
ABCHIJLQ            	0.950602225              	8	8	0.15	15
ABCHIJLQ            	1.007611243              	8	8	0.16	16
ABCHIJLQ            	1.063924752              	8	8	0.17	17
ABCHIJLQ            	1.119558073              	8	8	0.18	18
ABCHIJLQ            	1.174526083              	8	8	0.19	19
ABCHIJLQ            	1.228843226              	8	8	0.2	20
ABCHIJLQ            	1.28252353               	8	8	0.21	21
ABCHIJLQ            	1.335580626              	8	8	0.22	22
ABCHIJLQ            	1.388027756              	8	8	0.23	23
ABCHIJLQ            	1.439877791              	8	8	0.24	24
ABCHIJLQ            	1.491143241              	8	8	0.25	25
BCHIJLQ             	1.540891613              	7	8	0.26	1
BCHIJLQ             	1.583853787              	7	8	0.27	2
BCHIJLQ             	1.626431537              	7	8	0.28	3
BCHIJLQ             	1.668631549              	7	8	0.29	4
BCHIJLQ             	1.710460355              	7	8	0.3	5
BCHIJLQ             	1.751924337              	7	8	0.31	6
BCHIJLQ             	1.793029732              	7	8	0.32	7
BCHIJLQ             	1.833782635              	7	8	0.33	8
BCHIJLQ             	1.874189005              	7	8	0.34	9
BCHIJLQ             	1.914254665              	7	8	0.35	10
BCHIJLQ             	1.953985311              	7	8	0.36	11
BCHIJLQ             	1.99338651               	7	8	0.37	12
BCHIJLQ             	2.032463709              	7	8	0.38	13
BCHIJLQ             	2.071222234              	7	8	0.39	14
BCHIJLQ             	2.109667296              	7	8	0.4	15
BCHIJLQ             	2.14780399               	7	8	0.41	16
BCHIJLQ             	2.185637306              	7	8	0.42	17
BCHIJLQ             	2.223172123              	7	8	0.43	18
BCHIJLQ             	2.260413217              	7	8	0.44	19
BCHIJLQ             	2.297365264              	7	8	0.45	20
BCHIJLQ             	2.334032839              	7	8	0.46	21
BCHIJLQ             	2.370420423              	7	8	0.47	22
BCHIJLQ             	2.406532403              	7	8	0.48	23
BCHIJLQ             	2.442373073              	7	8	0.49	24
BCHIJLQ             	2.47794664               	7	8	0.5	25
BCHIJQ              	2.50923326               	6	8	0.51	1
BCHIJQ              	2.539745581              	6	8	0.52	2
BCHIJQ              	2.570078506              	6	8	0.53	3
BCHIJQ              	2.600234379              	6	8	0.54	4
BCHIJQ              	2.630215503              	6	8	0.55	5
BCHIJQ              	2.660024139              	6	8	0.56	6
BCHIJQ              	2.689662513              	6	8	0.57	7
BCHIJQ              	2.719132809              	6	8	0.58	8
BCHIJQ              	2.748437177              	6	8	0.59	9
BCHIJQ              	2.777577728              	6	8	0.6	10
BCHIJQ              	2.806556539              	6	8	0.61	11
BHIK                	2.834195785              	4	8	0.62	1
BHIK                	2.855329599              	4	8	0.63	2
BHIK                	2.876397882              	4	8	0.64	3
BHIK                	2.897401213              	4	8	0.65	4
BHIK                	2.918340161              	4	8	0.66	5
BHIK                	2.93921529               	4	8	0.67	6
BHIK                	2.960027157              	4	8	0.68	7
BHIK                	2.980776311              	4	8	0.69	8
BHIK                	3.001463298              	4	8	0.7	9
BHIK                	3.022088654              	4	8	0.71	10
BHIK                	3.042652911              	4	8	0.72	11
BHIK                	3.063156596              	4	8	0.73	12
