[{'A': 0, 'B': 0, 'C': 100, 'D': 0, 'E': 100, 'F': 0, 'G': 0, 'H': 100, 'I': 0, 'J': 100, 'K': 0, 'L': 100, 'M': 0, 'N': 0, 'O': 100, 'P': 100, 'Q': 0, 'R': 100, 'S': 0, 'T': 0}]
PR                  	19.69070591              	2	8	11.9	112
PR                  	19.805745554             	2	8	12.0	113
PR                  	19.920644987             	2	8	12.1	114
PR                  	20.035406161             	2	8	12.2	115
PR                  	20.150030991             	2	8	12.3	116
PR                  	20.264521358             	2	8	12.4	117
PR                  	20.378879108             	2	8	12.5	118
OR                  	20.493106052             	2	8	12.6	119
OR                  	20.607203971             	2	8	12.7	120
PR                  	20.721174612             	2	8	12.8	121
OR                  	20.83501969              	2	8	12.9	122
OR                  	20.948740891             	2	8	13.0	123
PR                  	21.062339869             	2	8	13.1	124
OR                  	21.175818252             	2	8	13.2	125
OR                  	21.289177635             	2	8	13.3	126
OR                  	21.402419588             	2	8	13.4	127
OR                  	21.515545652             	2	8	13.5	128
OR                  	21.628557343             	2	8	13.6	129
PR                  	21.741456148             	2	8	13.7	130
OR                  	21.85424353              	2	8	13.8	131
PR                  	21.966920927             	2	8	13.9	132
PR                  	22.079489751             	2	8	14.0	133
OR                  	22.191951392             	2	8	14.1	134
OR                  	22.304307214             	2	8	14.2	135
OR                  	22.416558561             	2	8	14.3	136
OR                  	22.52870675              	2	8	14.4	137
OR                  	22.640753081             	2	8	14.5	138
OR                  	22.752698828             	2	8	14.6	139
PR                  	22.864545246             	2	8	14.7	140
PR                  	22.976293568             	2	8	14.8	141
PR                  	23.087945009             	2	8	14.9	142
OR                  	23.199500762             	2	8	15.0	143
PR                  	23.310962                	2	8	15.1	144
PR                  	23.422329879             	2	8	15.2	145
PR                  	23.533605534             	2	8	15.3	146
OR                  	23.644790083             	2	8	15.4	147
OR                  	23.755884626             	2	8	15.5	148
PR                  	23.866890246             	2	8	15.6	149
PR                  	23.977808006             	2	8	15.7	150
PR                  	24.088638955             	2	8	15.8	151
OR                  	24.199384125             	2	8	15.9	152
PR                  	24.310044529             	2	8	16.0	153
OR                  	24.420621168             	2	8	16.1	154
OR                  	24.531115025             	2	8	16.2	155
PR                  	24.641527067             	2	8	16.3	156
OR                  	24.751858248             	2	8	16.4	157
PR                  	24.862109506             	2	8	16.5	158
PR                  	24.972281766             	2	8	16.6	159
OR                  	25.082375936             	2	8	16.7	160
OR                  	25.192392912             	2	8	16.8	161
OR                  	25.302333577             	2	8	16.9	162
PR                  	25.4121988               	2	8	17.0	163
PR                  	25.521989435             	2	8	17.1	164
OR                  	25.631706326             	2	8	17.2	165
PR                  	25.741350303             	2	8	17.3	166
OR                  	25.850922183             	2	8	17.4	167
OR                  	25.960422771             	2	8	17.5	168
OR                  	26.069852862             	2	8	17.6	169
PR                  	26.179213237             	2	8	17.7	170
PR                  	26.288504667             	2	8	17.8	171
OR                  	26.397727909             	2	8	17.9	172
OR                  	26.506883713             	2	8	18.0	173
PR                  	26.615972815             	2	8	18.1	174
PR                  	26.724995941             	2	8	18.2	175
OR                  	26.833953807             	2	8	18.3	176
OR                  	26.942847119             	2	8	18.4	177
OR                  	27.051676571             	2	8	18.5	178
PR                  	27.16044285              	2	8	18.6	179
PR                  	27.269146631             	2	8	18.7	180
PR                  	27.377788579             	2	8	18.8	181
OR                  	27.486369352             	2	8	18.9	182
PR                  	27.594889596             	2	8	19.0	183
PR                  	27.703349951             	2	8	19.1	184
OR                  	27.811751044             	2	8	19.2	185
OR                  	27.920093497             	2	8	19.3	186
B                   	28.025                   	1	8	19.4	1
--------------
